x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.12432,0.12574,0.12618,0.12241,0.12413,0.12572,0.12778,0.12372
0.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.2012,0.19895,0.19999,0.05024,0.19622,0.05175,0.05093,0.05072
0.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.19728,0.19974,0.05121,0.19928,0.05111,0.05225,0.19683,0.0523
0.2,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.1982,0.05296,0.19819,0.19623,0.05211,0.19854,0.0521,0.05167
0.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.2459,0.24316,0.2427,0.00575,0.24381,0.00594,0.00655,0.00619
0.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.24272,0.24536,0.00608,0.24234,0.006,0.00618,0.24513,0.00619
0.4,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.24556,0.00612,0.24293,0.24257,0.00679,0.24362,0.0064,0.00601
0.0,0.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.24555,0.24344,0.24256,0.00602,0.24377,0.0064,0.00613,0.00613
0.0,0.6,0.0,0.5,0.5,0.5,0.41231056256176607,0.24223,0.24561,0.00646,0.24238,0.00599,0.00617,0.24495,0.00621
0.6,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.24432,0.00615,0.24466,0.24318,0.00614,0.24293,0.00631,0.00631
0.0,0.0,0.8,0.5,0.5,0.5,0.4434711565216691,0.19968,0.199,0.19915,0.05156,0.19711,0.05164,0.05006,0.0518
0.0,0.8,0.0,0.5,0.5,0.5,0.4434711565216691,0.19699,0.19954,0.05164,0.19999,0.05056,0.05216,0.19863,0.05049
0.8,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.19872,0.05161,0.1972,0.19838,0.05028,0.20045,0.05004,0.05332
0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.12568,0.12576,0.12374,0.12556,0.12576,0.12401,0.12463,0.12486
0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.12498,0.12327,0.12352,0.126,0.12546,0.12596,0.12418,0.12663
1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.12508,0.12562,0.12509,0.12663,0.12417,0.1253,0.12381,0.1243
0.0,0.2,0.2,0.5,0.5,0.5,0.3785938897200183,0.31406,0.31804,0.08235,0.0814,0.08053,0.02113,0.08212,0.02037
0.2,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.31335,0.08268,0.31656,0.08214,0.08132,0.08141,0.02144,0.0211
0.2,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.3123,0.08223,0.0817,0.31768,0.02124,0.08185,0.08187,0.02113
0.0,0.2,0.4,0.5,0.5,0.5,0.34156502553198664,0.38683,0.38893,0.09961,0.00996,0.10035,0.00245,0.00963,0.00224
0.0,0.4,0.2,0.5,0.5,0.5,0.34156502553198664,0.38793,0.38571,0.00983,0.10091,0.00994,0.00272,0.10053,0.00243
0.2,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.38823,0.1001,0.38692,0.00931,0.10051,0.00981,0.00253,0.00259
0.2,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.38859,0.10011,0.00923,0.38636,0.00285,0.00973,0.10086,0.00227
0.4,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.38695,0.0093,0.3885,0.10054,0.00942,0.10042,0.00214,0.00273
0.4,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.38458,0.00994,0.09965,0.38979,0.0023,0.10119,0.01006,0.00249
0.0,0.2,0.6,0.5,0.5,0.5,0.34156502553198664,0.38954,0.38388,0.10181,0.01008,0.09983,0.00287,0.00954,0.00245
0.0,0.6,0.2,0.5,0.5,0.5,0.34156502553198664,0.38776,0.38755,0.00963,0.09947,0.01013,0.0025,0.10038,0.00258
0.2,0.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.38976,0.10183,0.38534,0.00954,0.09881,0.01009,0.00237,0.00226
0.2,0.6,0.0,0.5,0.5,0.5,0.34156502553198664,0.38578,0.10119,0.00978,0.38758,0.00228,0.00947,0.10131,0.00261
0.6,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.38695,0.00981,0.38913,0.09876,0.01008,0.10039,0.00225,0.00263
0.6,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.39102,0.0095,0.10079,0.38201,0.0026,0.10158,0.00992,0.00258
0.0,0.2,0.8,0.5,0.5,0.5,0.3785938897200183,0.3152,0.31702,0.08154,0.0813,0.08121,0.02125,0.08181,0.02067
0.0,0.8,0.2,0.5,0.5,0.5,0.3785938897200183,0.31363,0.31485,0.08118,0.08213,0.08336,0.02176,0.08208,0.02101
0.2,0.0,0.8,0.5,0.5,0.5,0.3785938897200183,0.31554,0.08075,0.31639,0.08028,0.08091,0.08273,0.02182,0.02158
0.2,0.8,0.0,0.5,0.5,0.5,0.3785938897200183,0.31468,0.08281,0.08116,0.31456,0.02127,0.08156,0.08292,0.02104
0.8,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.31533,0.08073,0.3148,0.08127,0.08135,0.08327,0.0214,0.02185
0.8,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.31729,0.08212,0.08125,0.31613,0.02141,0.08099,0.08056,0.02025
0.0,0.2,1.0,0.5,0.5,0.5,0.4434711565216691,0.19847,0.19638,0.05055,0.1992,0.05188,0.05312,0.19876,0.05164
0.0,1.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.19972,0.1971,0.1972,0.05172,0.19998,0.05092,0.05174,0.05162
0.2,0.0,1.0,0.5,0.5,0.5,0.4434711565216691,0.1974,0.05245,0.19868,0.19792,0.0516,0.19817,0.05192,0.05186
0.2,1.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.19885,0.05058,0.19853,0.19971,0.05033,0.19841,0.05176,0.05183
1.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.19797,0.19976,0.19999,0.05164,0.19748,0.05019,0.05125,0.05172
1.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.19928,0.19866,0.04994,0.19796,0.05231,0.05267,0.1979,0.05128
0.0,0.4,0.4,0.5,0.5,0.5,0.30000000000000004,0.47655,0.47575,0.01195,0.01168,0.01211,0.00029,0.01144,0.00023
0.4,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.47678,0.01185,0.47449,0.01219,0.01202,0.01192,0.00037,0.00038
0.4,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.47531,0.01136,0.01156,0.47681,0.00035,0.01219,0.01206,0.00036
0.0,0.4,0.6,0.5,0.5,0.5,0.30000000000000004,0.47499,0.47601,0.01165,0.01234,0.01209,0.00037,0.01226,0.00029
0.0,0.6,0.4,0.5,0.5,0.5,0.30000000000000004,0.4716,0.47934,0.01159,0.01222,0.01211,0.00043,0.01245,0.00026
0.4,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.47442,0.01224,0.47672,0.01145,0.01202,0.0123,0.00044,0.00041
0.4,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.47588,0.01205,0.01177,0.47537,0.0003,0.01218,0.01221,0.00024
0.6,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.4756,0.01165,0.47605,0.01202,0.01177,0.0124,0.00029,0.00022
0.6,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.4775,0.01233,0.01229,0.47395,0.00044,0.01138,0.01175,0.00036
0.0,0.4,0.8,0.5,0.5,0.5,0.34156502553198664,0.38644,0.38504,0.00987,0.10198,0.01001,0.00257,0.10148,0.00261
0.0,0.8,0.4,0.5,0.5,0.5,0.34156502553198664,0.38797,0.3861,0.10106,0.00924,0.10067,0.00267,0.00969,0.0026
0.4,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.38625,0.00987,0.38634,0.10163,0.00929,0.10165,0.00253,0.00244
0.4,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.38736,0.00924,0.10159,0.38769,0.00242,0.09989,0.00921,0.0026
0.8,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.38618,0.10085,0.38551,0.01008,0.10253,0.00923,0.00277,0.00285
0.8,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.39012,0.10068,0.00969,0.3837,0.00275,0.00936,0.10097,0.00273
0.0,0.4,1.0,0.5,0.5,0.5,0.41231056256176607,0.2437,0.24344,0.00624,0.24593,0.00609,0.00611,0.2416,0.00689
0.0,1.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.24196,0.24284,0.24354,0.00614,0.2464,0.00661,0.00634,0.00617
0.4,0.0,1.0,0.5,0.5,0.5,0.41231056256176607,0.24242,0.00599,0.24332,0.24554,0.00625,0.24439,0.00583,0.00626
