x1,x2,x3,target_1,target_2,target_3,dist,000,001,010,100,011,110,101,111
0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.12423,0.12413,0.12605,0.1242,0.12502,0.12579,0.1251,0.12548
0.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.22568,0.22334,0.22534,0.02492,0.22514,0.02515,0.02511,0.02532
0.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.22653,0.22388,0.02512,0.22433,0.02425,0.02429,0.22695,0.02465
0.2,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.2247,0.02538,0.22425,0.22676,0.02492,0.2241,0.02518,0.02471
0.0,0.0,0.4,0.5,0.5,0.5,0.41231056256176607,0.24691,0.24921,0.24735,0.00267,0.2463,0.0026,0.00242,0.00254
0.0,0.4,0.0,0.5,0.5,0.5,0.41231056256176607,0.24595,0.24917,0.00245,0.24787,0.00269,0.00258,0.24711,0.00218
0.4,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.249,0.00266,0.24513,0.24498,0.00258,0.25055,0.00258,0.00252
0.0,0.0,0.6,0.5,0.5,0.5,0.41231056256176607,0.24758,0.24733,0.24734,0.00287,0.24706,0.00259,0.00268,0.00255
0.0,0.6,0.0,0.5,0.5,0.5,0.41231056256176607,0.24708,0.2469,0.00242,0.24742,0.00254,0.00255,0.24836,0.00273
0.6,0.0,0.0,0.5,0.5,0.5,0.41231056256176607,0.24528,0.00239,0.24781,0.24831,0.00247,0.24848,0.00273,0.00253
0.0,0.0,0.8,0.5,0.5,0.5,0.4434711565216691,0.22712,0.22391,0.22683,0.02458,0.22318,0.0245,0.02511,0.02477
0.0,0.8,0.0,0.5,0.5,0.5,0.4434711565216691,0.22661,0.22324,0.0251,0.22542,0.02489,0.02472,0.22504,0.02498
0.8,0.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.2252,0.02498,0.2263,0.22527,0.02546,0.22346,0.02428,0.02505
0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.12366,0.12749,0.126,0.12332,0.12596,0.1234,0.12475,0.12542
0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.12471,0.12513,0.12531,0.12357,0.12441,0.12655,0.12413,0.12619
1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.12623,0.12364,0.12586,0.1242,0.12314,0.1255,0.12671,0.12472
0.0,0.2,0.2,0.5,0.5,0.5,0.3785938897200183,0.40869,0.40124,0.04562,0.04455,0.04517,0.00469,0.04541,0.00463
0.2,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.40393,0.04473,0.40568,0.04574,0.04497,0.04471,0.0052,0.00504
0.2,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.40405,0.045,0.04421,0.40631,0.00539,0.04539,0.0448,0.00485
0.0,0.2,0.4,0.5,0.5,0.5,0.34156502553198664,0.44406,0.44665,0.04967,0.00422,0.04967,0.00052,0.00469,0.00052
0.0,0.4,0.2,0.5,0.5,0.5,0.34156502553198664,0.44514,0.44614,0.00422,0.05057,0.00454,0.00045,0.0484,0.00054
0.2,0.0,0.4,0.5,0.5,0.5,0.34156502553198664,0.44566,0.04999,0.44561,0.00463,0.04888,0.00431,0.00044,0.00048
0.2,0.4,0.0,0.5,0.5,0.5,0.34156502553198664,0.44678,0.05017,0.00427,0.44436,0.00069,0.00426,0.04888,0.00059
0.4,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.44402,0.00438,0.44707,0.0491,0.00465,0.04977,0.00056,0.00045
0.4,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.44687,0.00455,0.05007,0.44361,0.00044,0.04978,0.00419,0.00049
0.0,0.2,0.6,0.5,0.5,0.5,0.34156502553198664,0.44716,0.44452,0.04938,0.00441,0.04913,0.00047,0.00455,0.00038
0.0,0.6,0.2,0.5,0.5,0.5,0.34156502553198664,0.44364,0.44732,0.00477,0.04953,0.00433,0.00044,0.04943,0.00054
0.2,0.0,0.6,0.5,0.5,0.5,0.34156502553198664,0.4455,0.04937,0.44513,0.00447,0.05,0.00447,0.00045,0.00061
0.2,0.6,0.0,0.5,0.5,0.5,0.34156502553198664,0.44357,0.04948,0.00484,0.44615,0.0004,0.00488,0.05021,0.00047
0.6,0.0,0.2,0.5,0.5,0.5,0.34156502553198664,0.4448,0.00491,0.4458,0.04959,0.00463,0.04926,0.00039,0.00062
0.6,0.2,0.0,0.5,0.5,0.5,0.34156502553198664,0.44431,0.00473,0.05014,0.44556,0.00051,0.04941,0.00488,0.00046
0.0,0.2,0.8,0.5,0.5,0.5,0.3785938897200183,0.40442,0.40648,0.04404,0.04483,0.04499,0.00517,0.04485,0.00522
0.0,0.8,0.2,0.5,0.5,0.5,0.3785938897200183,0.40428,0.40499,0.04482,0.04495,0.04675,0.00523,0.04404,0.00494
0.2,0.0,0.8,0.5,0.5,0.5,0.3785938897200183,0.40333,0.04463,0.40642,0.04579,0.04523,0.04504,0.00473,0.00483
0.2,0.8,0.0,0.5,0.5,0.5,0.3785938897200183,0.40449,0.04514,0.04435,0.40567,0.00499,0.04471,0.0454,0.00525
0.8,0.0,0.2,0.5,0.5,0.5,0.3785938897200183,0.40353,0.04441,0.4085,0.04429,0.04554,0.04438,0.00467,0.00468
0.8,0.2,0.0,0.5,0.5,0.5,0.3785938897200183,0.40463,0.04543,0.04567,0.40542,0.00508,0.04384,0.04521,0.00472
0.0,0.2,1.0,0.5,0.5,0.5,0.4434711565216691,0.22263,0.22519,0.02553,0.2252,0.02447,0.02523,0.22675,0.025
0.0,1.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.22638,0.22346,0.22447,0.02416,0.22694,0.0241,0.02498,0.02551
0.2,0.0,1.0,0.5,0.5,0.5,0.4434711565216691,0.2246,0.02432,0.22829,0.22405,0.02519,0.22372,0.02543,0.0244
0.2,1.0,0.0,0.5,0.5,0.5,0.4434711565216691,0.2246,0.02438,0.2251,0.22291,0.02491,0.22704,0.02509,0.02597
1.0,0.0,0.2,0.5,0.5,0.5,0.4434711565216691,0.22516,0.22258,0.22535,0.02494,0.22634,0.02521,0.02553,0.02489
1.0,0.2,0.0,0.5,0.5,0.5,0.4434711565216691,0.22429,0.22514,0.02475,0.22499,0.02591,0.0248,0.22401,0.02611
0.0,0.4,0.4,0.5,0.5,0.5,0.30000000000000004,0.48803,0.49291,0.00471,0.00438,0.00484,3e-05,0.00502,8e-05
0.4,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.48776,0.00485,0.4923,0.00547,0.00469,0.00483,6e-05,4e-05
0.4,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.487,0.00494,0.00497,0.49325,5e-05,0.00507,0.00467,5e-05
0.0,0.4,0.6,0.5,0.5,0.5,0.30000000000000004,0.49013,0.4899,0.00522,0.00524,0.00478,2e-05,0.00459,0.00012
0.0,0.6,0.4,0.5,0.5,0.5,0.30000000000000004,0.48893,0.48999,0.00548,0.00562,0.00478,5e-05,0.00511,4e-05
0.4,0.0,0.6,0.5,0.5,0.5,0.30000000000000004,0.49179,0.00524,0.48798,0.00454,0.00506,0.00531,3e-05,5e-05
0.4,0.6,0.0,0.5,0.5,0.5,0.30000000000000004,0.4909,0.0048,0.00526,0.48899,7e-05,0.00499,0.00493,6e-05
0.6,0.0,0.4,0.5,0.5,0.5,0.30000000000000004,0.48873,0.00508,0.49069,0.00515,0.00519,0.00508,4e-05,4e-05
0.6,0.4,0.0,0.5,0.5,0.5,0.30000000000000004,0.48975,0.00442,0.00522,0.4899,4e-05,0.00536,0.00524,7e-05
0.0,0.4,0.8,0.5,0.5,0.5,0.34156502553198664,0.44555,0.44635,0.00472,0.04952,0.00457,0.00042,0.04829,0.00058
0.0,0.8,0.4,0.5,0.5,0.5,0.34156502553198664,0.44564,0.44452,0.04979,0.00456,0.04987,0.00047,0.00476,0.00039
0.4,0.0,0.8,0.5,0.5,0.5,0.34156502553198664,0.44711,0.00428,0.44497,0.04798,0.00445,0.05034,0.00045,0.00042
0.4,0.8,0.0,0.5,0.5,0.5,0.34156502553198664,0.44527,0.00442,0.04976,0.44533,0.00041,0.04972,0.00454,0.00055
